Complexity,Loss,Equation
1,176.13292,14.446154
3,163.51878,(17.016441 * x1)
4,49.513634,inv(x0 * 0.34456858)
5,47.65956,inv(sin(x0) * 0.34518403)
6,23.988514,inv((x0 * 0.16998547) + 0.011333611)
8,21.788012,(inv((x0 * 0.14717673) + 0.011397681) * x1)
9,21.787994,(inv((x0 * 0.14717673) + sin(0.011397681)) * x1)
10,21.092693,((inv((x0 * 0.17566887) + 0.010735581) * x1) + 1.6616429)
11,21.092625,((inv((x0 * 0.17566887) + sin(0.010735581)) * x1) + 1.6616429)
12,20.786016,((inv((x0 * 0.17663802) + 0.010735581) * x1) + exp(cos(x1)))
13,20.78595,((inv((x0 * 0.17663802) + sin(0.010735581)) * x1) + exp(cos(x1)))
14,20.437073,((inv(x0) + (exp(exp(cos(x0 * 1.468002))) + inv(x0))) * x1)
15,19.538263,(((inv(x0) * x1) + exp(x1)) * exp(sin(x0 + (x1 + x0))))
16,17.65173,((inv(cos(sin(x0 + (x0 + x1)) + 0.2986858) * x0) * x1) + 4.9917665)
17,17.619955,((inv(cos(sin((x0 + x0) + x1) + 0.29556) * sin(x0)) * x1) + 4.9983)
18,16.874685,((inv(cos(sin((x0 * 1.934171) + x1) + 0.29556) * x0) * (x1 + x0)) + 2.4609623)
19,16.863098,((inv(sin(cos(sin((x0 * 1.934171) + x1) + 0.29556) * x0)) * (x1 + x0)) + 2.4609623)
20,16.849215,((inv(sin(cos(sin((x0 * 1.934171) + x1) + 0.29556) * x0)) * (x1 + sin(x0))) + 2.4609623)
